Code,Long definition,Source
DXGSRMRCHNSKD,"Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHNSKD,"Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
TOTRESV,"Total reserves comprise holdings of monetary gold, special drawing rights, reserves of IMF members held by the IMF, and holdings of foreign exchange under the control of monetary authorities. ",World Bank staff calculations based on Datastream data.
