Code,Long definition,Source
DXGSRMRCHSAKD,"Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHSAKD,"Merchandise (goods) exports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
IPTOTSAKD,"An economic indicator that measures changes in output for the industrial sector of the economy. The industrial sector includes manufacturing, mining, and utilities. Data is in constant US$, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream data.
DSTKMKTXD,Local equity market index valued in US$ terms,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
TOTRESV,"Total reserves comprise holdings of monetary gold, special drawing rights, reserves of IMF members held by the IMF, and holdings of foreign exchange under the control of monetary authorities. ",World Bank staff calculations based on Datastream data.
