Country ,Year,Access to electricity (% of population),Agricultural land (% of land area),Arable land (% of land area),Average supply of protein of animal origin (g/cap/day),CO2 emissions by sector (Mt CO2 eq) - Building,CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,CO2 emissions by sector (Mt CO2 eq) - Energy,CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,CO2 emissions by sector (Mt CO2 eq) - Transportation,CO2 emissions per dollar of manufacturing value added (kgCO2 per constant 2010 US$),Coal rents (% of GDP),Comparative advantage in environmental goods (index),Energy intensity of the economy (kWh per 2011$PPP),Food GHG emissions by system stage (Share of total) - Consumption,Food GHG emissions by system stage (Share of total) - End_of_Life,Food GHG emissions by system stage (Share of total) - LULUC (Production),Food GHG emissions by system stage (Share of total) - Packaging,Food GHG emissions by system stage (Share of total) - Processing,Food GHG emissions by system stage (Share of total) - Production,Food GHG emissions by system stage (Share of total) - Retail,Food GHG emissions by system stage (Share of total) - Transport,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"GHG emissions from food systems, by gas (Mt CO2 eq) - CO2","GHG emissions from food systems, by gas (Mt CO2 eq) - Methane","GHG emissions from food systems, by gas (Mt CO2 eq) - N2O",GHG growth (annual %),Government Effectiveness: Estimate,"Labor force, female (% of total labor force)",Mineral rents (% of GDP),Natural gas rents (% of GDP),Net food imports by crop - Barley,Net food imports by crop - Maize,"Net food imports by crop - Rice, milled","Net food imports by crop - Rice, paddy (rice milled equivalent)",Net food imports by crop - Soybeans,Net food imports by crop - Wheat,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Agriculture,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Energy,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Fugitive Emissions,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Industrial Processes,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Other Fuel Combustion,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Total including LUCF,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Waste,Oil rents (% of GDP),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Per capita daily coal consumption (short tons per capita per day),Per capita daily gas consumption (thousand cubic feet per capita per day),Per capita daily oil consumption (barrels per capita per day),Per capita GHG emissions (tons/capita),Political Stability and Absence of Violence/Terrorism: Estimate,"Population, total",Proportion of seats held by women in national parliaments (%),Regulatory Quality: Estimate,Rule of Law: Estimate,Share of surface occupied by forest (% of total),Tax revenue (% of GDP),Total GHG emissions by sector (Mt CO2 eq) - Agriculture,Total GHG emissions by sector (Mt CO2 eq) - Building,Total GHG emissions by sector (Mt CO2 eq) - Bunker Fuels,Total GHG emissions by sector (Mt CO2 eq) - Electricity/Heat,Total GHG emissions by sector (Mt CO2 eq) - Energy,Total GHG emissions by sector (Mt CO2 eq) - Fugitive Emissions,Total GHG emissions by sector (Mt CO2 eq) - Industrial Processes,Total GHG emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,Total GHG emissions by sector (Mt CO2 eq) - Manufacturing/Construction,Total GHG emissions by sector (Mt CO2 eq) - Other Fuel Combustion,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,Total GHG emissions by sector (Mt CO2 eq) - Total including LUCF,Total GHG emissions by sector (Mt CO2 eq) - Transportation,Total GHG emissions by sector (Mt CO2 eq) - Waste,Total natural resources rents (% of GDP),Trade in environmental goods as share of total exports (%),Trade in environmental goods as share of total imports (%),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Voice and Accountability: Estimate,,,
Philippines,2006,80.18,38.83690512,17.28879498,23,4.17,2.2,26.53,65.93,0.38,4.88,2.38,10.72,0.76,70.81,73.19,23.37,0.28,0.03388965,0.146848498,0.746,1.292101362,16.74453726,16.01000491,3.071794623,3.405721311,56.01537908,0.640886035,2.819575414,1.27653E+11,5.316416821,1452.438089,26353.34529,62387.343,8023.634324,-4.53,-0.1313469,38.87849169,0.793817449,0.141743414,3002,108639,14149,-529,1699729,1166,1715708,107396,2755012,55.49,6.01,0.27,1.48,0.02,5.74,74,74.02,11.02,0.330589691,88.31165428,63.49388054,..,8.89288E-05,0.002421899,0.003404504,1.68,-1.640324,87888675,15.25423729,-0.169674,-0.4109581,23.56889023,13.12730144,55.49,4.17,2.2,26.53,71.94,0.65,6.36,2.41,10.72,6.5,144.81,147.22,23.37,11.02,1.588888652,0.005699269,0.02082467,4.05,45.625,-0.0911425
Philippines,2007,82.06024933,39.54120133,17.74155683,23.7,3.78,3.67,28.99,69.4,0.38,5.16,2.38,13.08,1.2,74.56,76.94,21.98,0.33,0.063555234,0.245096701,0.719,1.253111872,16.62079019,15.61110326,3.168982869,3.347825579,56.53267493,0.647038351,2.81847295,1.5598E+11,6.51929155,1744.639979,27102.13535,63956.30946,8340.884245,3.77,0.0731165,38.92929991,2.186372742,0.14937992,1933,151946,10694,-141,1793597,262,1805255,166318,1795504,57.02,5.83,0.3,1.69,0.04,5.53,75.78,75.82,11.25,0.279063793,88.70770269,64.72975559,..,0.000114882,0.003138341,0.003423438,1.71,-1.602893,89405482,20.50209205,-0.1158655,-0.4642206,23.41141631,12.9604093,57.01,3.78,3.67,28.99,75.23,0.68,6.84,2.43,13.08,6.72,150.35,152.77,21.98,11.25,3.004121056,0.010002129,0.019904245,3.43,45.54,-0.1105415
Philippines,2008,83.3,40.27903545,18.27816346,24.3,3.99,2.97,31.65,71.56,0.38,5.17,2.38,12.55,0.79,76.73,79.11,22.2,0.3,0.145279828,0.227895879,0.697,1.318416881,16.66908874,15.11975938,3.740892691,3.308352102,56.43800731,0.650954261,2.754528643,1.81007E+11,4.344487305,1991.229749,27248.30432,65656.52762,8079.483463,2.09,0.016421,38.49640744,0.554091748,0.16940485,2289,21379,2198,-1565,2425047,817,2430414,39288,1701876,57.8,5.64,0.33,1.9,0.02,5.31,76.83,76.85,11.49,0.33244717,89.10442995,65.98141978,..,0.000119901,0.003129251,0.003420616,1.72,-1.778313,90901967,20.50209205,-0.0786918,-0.5456504,23.25394238,13.03351369,57.8,3.99,2.97,31.65,77.21,0.71,7.07,2.4,12.55,6.11,153.56,155.97,22.2,11.49,1.638418578,0.009263699,0.020994447,3.72,45.455,-0.1387526
Philippines,2009,84.3,40.58087668,18.44585304,25,5.03,2.99,31.35,71.85,0.38,5.67,2.38,11.16,0.64,77.52,79.91,23.3,0.28,0.070267627,0.28806305,0.674,1.327763229,16.90651269,15.07213122,3.143157588,3.111134126,56.77862936,0.798734198,2.861937588,1.76132E+11,1.448323063,1905.895236,26565.10314,66539.09662,8125.235409,1.28,-0.0265842,38.84990707,0.393027561,0.176506904,2425,302604,18693,961,1751902,2643,1774568,33716,3067723,58.75,5.47,0.36,2.11,0.02,5.11,78.05,78.05,11.72,0.25328702,89.50194018,67.24905618,..,0.000153168,0.003297907,0.003165663,1.71,-1.727586,92414161,20.97378277,-0.1061816,-0.5705019,23.09646846,11.69893557,58.75,5.03,2.99,31.35,77.32,0.74,7.78,2.4,11.16,5.74,155.57,157.97,23.3,11.72,1.293361479,0.012148575,0.021542353,3.86,45.371,-0.0277972
Philippines,2010,85.39570618,40.58087668,17.77509474,25,5.35,3.03,34.83,77.51,0.38,6.06,2.38,12.53,0.67,83.57,85.95,23.75,0.28,0.142961204,0.30867237,0.631,1.378499846,17.16533121,15.48116785,3.962267967,3.294474065,54.899595,0.900984727,2.917679343,2.08369E+11,7.33449996,2217.472153,28182.33227,65426.68301,7994.256883,3.66,0.0014643,39.03438628,1.11298316,0.121873532,4486,88432,11275,-38,2364706,3020,2378007,109892,1870789,58.04,5.29,0.39,2.32,0.2,4.9,77.6,77.8,11.96,0.294029775,89.90463834,68.53787476,..,0.000213726,0.002944815,0.003358714,1.74,-1.65076,93966784,22.14285714,-0.2335325,-0.5525689,22.93899453,11.63527559,58.04,5.35,3.03,34.83,82.79,0.77,8.37,2.58,12.53,5.57,161.17,163.75,23.75,11.96,2.010545291,0.013046316,0.025331689,3.61,45.332,-0.0391025
Philippines,2011,87.2,41.11748331,18.27816346,24.7,5.43,3.28,35.86,78.36,0.6,6.12,2.43,12.35,0.58,84.47,86.9,23.53,0.26,0.169770778,0.606698969,0.59,1.602528383,20.41344448,0.199469044,4.562413182,3.799465183,64.92900512,1.103811559,3.389863045,2.34217E+11,3.858232828,2450.735694,12536.40636,66530.44748,7954.268001,1.22,0.0902608,39.20376848,1.61395426,0.154230817,4074,66181,11273,988,692234,3126,706459,51630,2766557,58.4,5.4,0.38,2.86,0.02,5.02,78.84,78.84,12.18,0.410754644,90.32984172,69.86620672,81.58505343,0.000218389,0.003189004,0.003144916,1.73,-1.392182,95570049,22.88732394,-0.2276281,-0.5110275,23.0559949,11.84900078,58.4,5.43,3.28,35.86,83.75,0.98,8.97,2.44,12.35,5.6,163.3,165.75,23.53,12.18,2.711504812,0.025204295,0.026018374,3.59,45.522,-0.0199027
Philippines,2012,87.08,41.68762786,18.71415635,24.3,5.34,3.32,38.53,80.84,0.44,7.22,2.43,11.48,0.56,88.06,90.49,24.49,0.22,0.092052019,1.153832944,0.586,1.629694024,20.65214275,0.172692532,4.151454556,3.510379629,65.29409632,1.128430144,3.461110044,2.61921E+11,6.896951711,2694.305109,12150.79883,67541.98147,8015.239561,3.11,0.1080892,39.17176023,0.695846803,0.138312222,2796,136248,15747,979,989029,3910,1008252,57761,2996013,59.1,5.5,0.37,3.4,0,5.13,80.4,80.42,12.41,0.312759918,90.75373191,71.20451811,81.59789032,0.000228026,0.00273701,0.003220649,1.76,-1.18824,97212639,22.88732394,-0.0611084,-0.5231333,23.17299527,12.30592712,59.1,5.34,3.32,38.53,86.35,0.81,10.61,2.44,11.48,5.69,168.46,170.9,24.49,12.4,1.53547699,0.050177102,0.025959987,3.5,45.712,-0.0296867
Philippines,2013,87.5,41.72116578,18.74769427,24,5.76,3.39,44.59,90.09,0.44,7.71,2.43,13.15,0.59,97.8,100.23,25.56,0.23,0.057233481,0.881559625,0.578,1.721211672,20.47316545,0.220660036,4.533697246,3.608098691,64.69221121,1.268200542,3.482755149,2.83903E+11,6.750531301,2871.429701,13593.26576,68221.37265,8423.9038,6.66,0.118351,39.31955445,0.484159758,0.108697195,3298,341294,770,-310,396150,2141,398826,28403,2472301,59.84,5.61,0.36,3.94,0.04,5.25,82.01,82.05,12.63,0.310608123,91.17639999,72.5527742,81.61079482,0.000216869,0.003433827,0.003303698,1.84,-1.084253,98871558,27.33564014,-0.0719822,-0.403449,23.28999564,12.74382206,59.84,5.76,3.39,44.59,95.7,0.8,11.65,2.47,13.15,5.84,179.82,182.28,25.56,12.63,1.22809854,0.037917713,0.026179259,3.5,45.903,0.0063471
Philippines,2014,89.69213867,41.72116578,18.74769427,24.3,6.65,3.21,47.99,95.99,0.27,8.42,2.43,13.89,0.53,104.41,106.84,26.65,0.23,0.047117295,0.940033512,0.58,1.759721007,20.55701646,0.406192213,4.576593293,3.816719296,63.83453054,1.463921885,3.585305302,2.97483E+11,6.347987483,2959.645435,14409.25119,68561.92114,8575.855851,4.3,0.1927041,39.54525383,0.783912148,0.127223147,2034,574866,2368,..,1069517,5065,1076563,43142,2868593,60.18,5.72,0.35,4.48,0.06,5.37,83.24,83.28,12.85,0.283421906,91.59766387,73.91067261,81.62363144,0.00022838,0.002599006,0.003464946,1.89,-0.7138209,100513137,27.33564014,-0.0368149,-0.3174057,23.40699601,13.01551718,60.18,6.65,3.21,47.99,101.71,0.63,12.9,2.48,13.89,5.9,187.64,190.12,26.65,12.85,1.582532615,0.042250073,0.024623231,3.6,46.093,0.159266
Philippines,2015,89.08,41.72116578,18.74769427,24.7,6.48,3.75,51.88,104.16,0.27,9.51,2.43,14.11,0.6,113.67,116.1,30.82,0.22,0.02783386,0.956008778,0.6,1.887951964,20.85268846,0.492564094,4.771566858,3.677384761,62.76656436,1.43349759,4.117781906,3.06446E+11,6.348309717,3001.043182,15138.91642,68330.03021,8505.743654,4.78,0.1119681,39.731591,0.288563925,0.137490724,3640,431869,8369,-520,1076133,13905,1094462,67378,3384090,59.13,5.83,0.35,5.02,0.07,5.49,83.06,83.12,13.08,0.068033651,92.01770102,75.27825227,81.63653602,0.000218206,0.002463529,0.003701774,1.95,-0.8556625,102113206,27.24137931,-0.0430832,-0.3429787,23.52399638,13.01961059,59.13,6.48,3.75,51.88,109.99,0.62,14.52,2.5,14.11,6.08,196.72,199.22,30.82,13.08,0.769548074,0.04556268,0.030020605,3.07,46.284,0.1470693
Philippines,2016,92.04637146,41.72116578,18.74769427,25.3,7.91,4.01,56.04,115.04,0.29,9.88,2.46,16.76,0.71,124.92,127.38,33.34,0.25,0.045751946,0.864799934,0.614,..,..,..,..,..,..,..,..,3.18627E+11,7.14945675,3073.654686,..,..,..,6.44,-0.0104617,39.32686781,0.177643766,0.096635464,4412,779994,..,-333,437998,11693,445888,130194,4625824,59.03,5.94,0.34,6.28,0.1,5.6,84.56,84.66,13.3,0.044943394,92.43642247,76.65530655,81.6494406,0.000326609,0.002898942,0.003926149,2.05,-1.379819,103663812,29.79452055,-0.0041014,-0.3550694,23.64101016,13.08710069,59.04,7.91,4.01,56.04,120.98,0.63,16.16,2.56,16.76,6.31,209.48,212.04,33.34,13.31,0.617305579,0.042131114,0.031052326,2.69,46.475,0.1634221
Philippines,2017,93,41.72116578,18.74769427,25.3,9.3,4.91,64.12,126.7,0.22,9.88,2.46,17.79,0.9,136.59,139.05,34.38,0.24,0.063064005,0.44978556,..,..,..,..,..,..,..,..,..,3.28481E+11,6.930988326,3123.245642,..,..,..,7.69,-0.0546969,38.21881416,0.381783843,0.104458623,5747,477572,2978,..,862338,10036,872920,192419,5499341,62.15,6.05,0.34,7.54,0.02,5.72,89.29,89.3,13.54,0.04848724,92.85503057,78.04232901,81.66342606,0.000342625,0.002890457,0.004216467,2.17,-1.18508,105172921,29.45205479,0.019665,-0.417701,23.75802395,13.59379375,62.16,9.3,4.91,64.12,132.75,0.55,17.42,2.48,17.79,6.61,225.87,228.35,34.38,13.54,0.894708488,0.022987159,0.030508455,2.55,46.682,0.0841495
Philippines,2018,94.43275452,41.72116578,18.74769427,25.7,10.03,4.99,70.44,132.36,0.22,9.88,2.46,15.39,0.65,142.24,144.7,35.64,..,0.068932819,0.43989156,..,..,..,..,..,..,..,..,..,3.46842E+11,6.341485571,3252.110274,..,..,..,2.83,0.0531931,38.7572337,0.385978707,0.189276781,5573,914790,462,..,1755178,12189,1764040,191107,6690483,61.37,6.16,0.33,8.81,0.02,5.83,90.1,90.12,13.77,0.073291743,93.27349616,79.43866535,81.67862742,0.000369698,0.003262638,0.004301416,2.2,-1.092062,106651394,29.45205479,-0.0615247,-0.4749934,23.87500419,14.04753328,61.37,10.03,4.99,70.44,138.51,0.55,18.68,2.48,15.39,6.48,232.34,234.82,35.64,13.77,0.919484638,0.022657872,0.029075724,2.34,46.907,0.0136249
Philippines,2019,95.62862396,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.046460314,0.529366475,..,..,..,..,..,..,..,..,..,3.76823E+11,6.118525663,3485.340844,..,..,..,..,0.0520084,39.35710411,0.299152747,0.135116136,6141,458442,51810,2649,2957567,27643,3029732,178054,7153746,..,..,..,..,..,..,..,..,..,0.049249791,93.69155849,80.8435005,81.6949777,..,..,..,..,-0.9151124,108116622,27.96052632,0.0083691,-0.4769835,23.99201798,14.48847302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.681587056,0.029294896,0.0378903,2.24,47.149,0.0065084
Philippines,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.61489E+11,-9.573029875,3298.829851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.10903456,82.25604781,81.71247639,..,..,..,..,..,109581085,27.96052632,..,..,24.10903176,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.36,47.408,..
Philippines,2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111047000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.684,..
Sri Lanka,2006,82.05,38.90926487,16.74374103,12.3,88.69948412,0.4,1,3.4,11.78,0.63,2.5,1.17,0.82,12.41,14.9,5.99,0.13,0,0.439432604,0.533,1.834835102,21.68781981,12.87450626,0.754815713,0.471058897,59.05130898,0.305086172,3.02056907,28279814925,7.6682919,1435.816813,3253.682866,12502.19565,837.846772,-5.53,-0.1612208,33.54451609,0.001244272,0,0,84043,0,0,16970,185,17090,210,1188660,6.08,2.22,0,0.22,0,2.21,11.51,11.51,3,0,83.9664351,82.19374352,0,0,0.004408872,1.34,-1.421803,19695977,4.888888889,-0.2728167,0.1753448,33.94578217,14.57725918,6.08,0.4,1,3.4,14,0,0.85,2.5,1.17,3.04,23.92,26.41,5.99,2.99,0.164174282,0.017054616,0.024936135,6.5,18.288,-0.3101588,
Sri Lanka,2007,80,38.11194387,15.94642003,12.7,84.99441695,0.42,0.36,4.11,12.94,0.65,2.48,1.14,0.7,13.59,16.07,6.57,0.12,0,0.450188097,0.496,2.010084168,22.66606553,13.20338929,0.819117836,0.532622877,56.9613614,0.384558857,3.422800044,32350248411,6.796826119,1630.388906,3342.754441,11871.32933,852.6590388,3.62,-0.0842959,33.60934246,0.002480299,0,13,78758,105,77,129420,195,129721,0,972115,5.76,2.26,0,0.25,0,2.26,11.3,11.3,3.03,0,84.64173559,83.12530943,0,0,0.004465436,1.38,-1.748257,19842044,5.777777778,-0.2877894,0.1295962,33.84563865,14.22160859,5.76,0.42,0.36,4.11,15.2,0,0.9,2.48,1.14,2.96,24.89,27.37,6.57,3.03,0.196497794,0.018371685,0.022922564,5.97,18.272,-0.4352549,
Sri Lanka,2008,82.88735199,41.38095997,19.13570403,13.3,..,0.43,0.33,4.02,12.12,0.69,2.47,1.08,0.56,12.81,15.28,6.02,0.11,0,0.43422038,0.43,1.823410233,20.56796165,11.67942609,0.761324761,0.482607489,61.60245928,0.330235954,2.75257454,40713812310,5.950088145,2037.322103,3313.973242,13695.74466,877.8348155,1.1,-0.1228165,33.66925839,0.020658669,0,35,83193,8996,17099,74804,4,99197,2443,954209,6.73,2.3,0,0.28,0,2.3,12.39,12.39,3.07,0,85.31870248,84.06120881,0,0,0.004322665,1.38,-1.796857,19983984,5.777777778,-0.3669674,-0.0118438,33.74549514,13.27733443,6.74,0.43,0.33,4.02,14.42,0,0.97,2.47,1.08,2.86,25.2,27.67,6.02,3.07,0.168491008,0.017650547,0.022098778,5.22,18.257,-0.4648744,
Sri Lanka,2009,87.09,40.02551427,17.54106203,13.3,86.06349191,0.37,0.31,4.12,11.57,0.72,2.47,1.03,0.55,12.29,14.76,5.5,0.1,0,0.409630252,0.4,2.011831525,21.60985397,12.22288694,0.934756212,0.510618633,59.74885191,0.405037964,2.556162837,42066217872,3.538912053,2090.401826,3356.247328,12919.83643,892.5541423,-3.08,-0.1481891,33.7338511,0.017457922,0,19,28031,301,3979,69232,4,73124,1679,1056913,6.3,2.34,0,0.31,0,2.34,12.07,12.07,3.11,0,85.99720724,85.00146421,0,0,0.004109439,1.33,-1.342192,20123508,5.777777778,-0.2784031,-0.1070998,33.64535162,12.80032048,6.3,0.37,0.31,4.12,13.91,0,1.03,2.47,1.03,2.89,24.35,26.82,5.5,3.11,0.15402492,0.017275468,0.025900151,5.85,18.242,-0.4803367,
Sri Lanka,2010,85.3,41.77962048,19.13570403,13.7,71.58531844,0.45,0.38,3.41,12.41,0.66,2.46,1.02,0.6,13.07,15.53,6.92,0.09,0,0.443178746,0.384,1.885722219,20.35122299,11.27905251,0.845591462,0.436170034,61.70355146,0.341803423,3.156885898,56725749222,8.015967371,2799.648738,3498.678903,13983.39194,940.2540672,4.61,-0.1950748,32.69381959,0.005746839,0,0,11208,100,1835,148621,-1,150374,1631,944949,6.65,2.39,0,0.34,0,2.38,12.52,12.52,3.15,0,86.67712252,85.94608387,0,0,0.004384367,1.38,-0.9429469,20261738,5.333333333,-0.2178601,-0.1214751,33.5452081,11.30003056,6.65,0.45,0.38,3.41,14.79,0,1,2.46,1.02,2.98,25.59,28.05,6.92,3.15,0.187351776,0.018731349,0.026119051,4.78,18.226,-0.5052291,
Sri Lanka,2011,87.76,43.53372668,20.73034604,14.7,71.10810938,0.49,0.99,5.19,14.67,0.75,0.65,1.01,0.61,15.42,16.07,7.38,0.09,0,0.499823524,0.352,1.988208561,19.52033596,13.22209558,0.810973501,0.509048661,60.14621432,0.447105916,3.356017503,65292753005,8.404733021,3200.861132,4224.041842,14242.63592,981.2409494,3.88,-0.1114646,32.96955852,0.00972197,0,44,8243,239,4,37229,24,37490,-1,1325775,6.99,2.47,0,0.42,0,2.47,13.07,13.07,3.19,0,87.3586998,86.89504756,0,0,0.004984895,1.43,-0.7247714,20398496,5.777777778,-0.1136863,-0.1222856,33.62557806,11.25639334,6.99,0.49,0.99,5.19,17.14,0,1.17,0.65,1.01,3.08,28.49,29.14,7.38,3.19,0.167906374,0.020764333,0.022784412,4.12,18.211,-0.5450529,
Sri Lanka,2012,87,42.89586988,19.93302504,15.7,68.71039465,0.54,1.23,6.51,16.07,0.76,0.64,1.13,0.52,16.83,17.47,7.37,0.1,0,0.502902467,0.329,2.327264894,19.47428838,13.64248171,0.981982,0.586250038,59.23907028,0.549150815,3.199511893,68434409315,9.144572246,3350.521876,4517.521282,14209.98992,999.3688345,4.69,-0.2076246,32.05865699,0.009795569,0,128,17528,179,1,45704,23,45904,99,1119148,6.76,2.56,0,0.5,0,2.56,13.03,13.04,3.22,0,88.04181203,87.84836699,0,0,0.005347584,1.49,-0.7170792,20425000,5.777777778,-0.1124752,-0.1223696,33.70594801,10.40841476,6.76,0.54,1.23,6.51,18.63,0,1.26,0.64,1.13,3.07,29.86,30.51,7.37,3.22,0.140422702,0.02186988,0.026455913,3.88,18.196,-0.5752793,
Sri Lanka,2013,90.2,43.69319088,20.73034604,16,70.82110606,0.56,1.11,4.08,13.74,0.74,0.63,1.01,0.37,14.48,15.11,7.73,0.08,0,0.51954631,0.324,1.776526583,19.11038486,12.37376746,0.735983984,0.46090358,61.86250453,0.372421863,3.307507143,74317806538,3.39573265,3610.289363,4278.819281,14986.01182,997.3195182,-7,-0.17006,33.73815629,0.005061756,0,549,16679,290,23,23722,24,24053,1120,934594,6.77,2.65,0,0.58,0,2.65,13.26,13.26,3.26,0,88.72831319,88.80582519,0,0,0.004638213,1.38,-0.6128954,20585000,5.777777778,-0.1534275,-0.2770237,33.78631797,10.48662317,6.77,0.56,1.11,4.08,16.39,0,1.32,0.63,1.01,3.02,27.74,28.37,7.73,3.26,0.113822997,0.022346767,0.027133064,4.24,18.198,-0.5941756,
Sri Lanka,2014,92.63770294,43.69319088,20.73034604,16,71.33279838,0.55,1.46,6.84,16.88,0.72,0.62,1,0.36,17.6,18.22,8.13,0.08,0,0.515989741,0.275,2.299313394,21.57486552,13.98069864,1.080283104,0.670256958,55.98800671,0.608630107,3.797945568,79356449841,4.960700592,3819.25353,4552.997633,12521.59874,1017.949389,10.03,0.0535279,33.49239632,0.004538991,0,259,88123,29599,471,569603,288,599851,3,1178545,6.31,2.73,0,0.67,0,2.73,13,13,3.29,0,89.41811478,89.76742397,0,0,0.005092492,1.5,-0.330464,20778000,5.777777778,-0.1011968,-0.1701762,33.86668793,10.13750624,6.3,0.55,1.46,6.84,19.62,0,1.38,0.62,1,3.1,30.6,31.22,8.13,3.29,0.110981946,0.023191306,0.026566594,4.19,18.218,-0.667201,
Sri Lanka,2015,94.3347702,44.26994975,21.00399076,16.3,77.65039412,0.66,1.17,6.81,19.49,0.87,0.61,2.96,0.39,20.36,20.97,8.68,0.23,0,0.4964995,0.334,2.164219477,20.31461789,12.81318744,0.942247302,0.635472467,58.60345057,0.579613331,3.947191522,80604080689,5.007683305,3843.780672,4752.335735,13517.86518,1091.643366,10.54,-0.0095256,34.26996241,0.004023402,0,191,68635,10167,76,275355,-2,285594,7291,1207847,6.64,2.83,0,0.75,0,2.82,13.54,13.54,3.32,0,90.11102857,90.73319491,0,0,0.005150215,1.65,0.0903681,20970000,4.888888889,-0.0529576,0.0372322,34.39516585,12.37995191,6.63,0.66,1.17,6.81,22.32,0,1.62,0.61,2.96,3.21,33.9,34.51,8.68,3.33,0.123390773,0.023662804,0.030751716,4.52,18.256,-0.2961409,
Sri Lanka,2016,97.5,44.43151891,21.16555992,16.7,..,0.8,1.64,8.71,20.9,1.03,1.92,1.62,0.41,21.93,23.85,9.36,0.12,0,0.479493485,0.342,..,..,..,..,..,..,..,..,82401038710,4.486634531,3886.291502,..,..,..,7.83,-0.0263917,34.2719969,0.002519653,0,126,43055,1200,27,28291,-2,29519,7144,947578,6.17,2.89,0,0.95,0,2.89,13.37,13.37,3.36,0,90.80674449,91.70315408,0,0,0.005848229,1.76,-0.0040295,21203000,5.777777778,-0.1000357,0.1105179,34.34411,12.20138961,6.17,0.8,1.64,8.71,23.79,0,1.97,1.92,1.62,3.3,35.29,37.21,9.36,3.36,0.129035432,0.023359847,0.032682643,4.24,18.311,-0.0810782,
Sri Lanka,2017,97.5,44.59631945,21.33036046,17,..,0.95,1.7,9.7,22.28,1.03,1.91,0.7,0.49,23.31,25.22,10.44,0.05,0,0.481295492,..,..,..,..,..,..,..,..,..,87421762729,3.578169679,4076.747003,..,..,..,1.66,-0.1512185,35.01021516,0.001847725,0,140,181017,78473,-4,669318,-4,747795,3172,1249601,5.11,2.96,0,1.14,0,2.96,12.6,12.6,3.39,0,91.50516883,92.677305,0,0,0.005891848,1.76,-0.0711655,21444000,5.777777778,-0.1308368,0.0484503,34.29305414,12.53125198,5.12,0.95,1.7,9.7,25.24,0,2.17,1.91,0.7,3.44,35.92,37.83,10.44,3.39,0.096005308,0.024597535,0.033563966,4.05,18.384,-0.0619051,
Sri Lanka,2018,99.58686066,45.44807966,22.17121428,17,..,1.03,1.58,8.14,20.61,1.03,1.91,0.85,0.64,21.63,23.54,9.95,..,0,..,..,..,..,..,..,..,..,..,..,87954272082,3.272000479,4058.803511,..,..,..,-1.8,-0.232434,33.54550278,0.001628614,0,349,127730,25693,10752,310000,38,345395,3228,1179790,5.82,3.02,0,1.34,0,3.02,13.61,13.61,3.42,0,92.20617472,93.6556322,0,0,0.00574127,1.71,-0.1452709,21670000,5.777777778,-0.1755948,0.0257045,34.25804992,11.9818702,5.82,1.03,1.58,8.14,23.63,0,2.37,1.91,0.85,3.66,35.24,37.15,9.95,3.42,0.068919772,..,..,4.32,18.476,-0.0154676,
