"Year","Share of Surface Occupied by Forest"
2009-01-01,"52.02"
2010-01-01,"53.32"
2011-01-01,"56.1"
2012-01-01,"59.8"
2013-01-01,"63.76"
2014-01-01,"67.62"
2015-01-01,"70.38"
2016-01-01,"73.75"
2017-01-01,"71.59"
2018-01-01,"67.97"
