"","Series","Series.Code","Series.Desc"
"1","Exports Merchandise, Customs, constant US$, millions, seas. adj.","DXGSRMRCHSAKD","Exports"
"2","GDP,constant 2010 LCU,millions,seas. adj.,","NYGDPMKTPSAKN","GDP"
"3","Imports Merchandise, Customs, constant US$, millions, seas. adj.","DMGSRMRCHSAKD","Imports"
"4","Industrial Production, constant US$, seas. adj.,,","IPTOTSAKD","Production"
"5","Stock Markets, US$,,,","DSTKMKTXD","Stock"
"6","Total Reserves,,,,","TOTRESV","Reserves"
"7","Unemployment rate,Percent,,,","UNEMPSA_","Unemployment"
